,mw
0,825.08
1,843.141
2,826.584
3,839.028
4,865.368
5,926.63
6,1034.448
7,1053.806
8,968.785
9,877.421
10,796.541
11,741.118
12,702.335
13,685.004
14,677.218
15,701.706
16,768.864
17,861.823
18,955.028
19,1061.161
20,1097.185
21,1063.005
22,992.329
23,932.138
24,890.717
25,875.293
26,867.967
27,870.152
28,890.078
29,953.209
30,1052.087
31,1056.37
32,961.825
33,858.875
34,781.511
35,743.951
36,768.729
37,831.25
38,908.368
39,947.461
40,995.137
41,1033.641
42,1064.089
43,1116.302
44,1113.967
45,1060.333
46,986.012
47,912.699
48,860.129
49,825.741
50,818.102
51,826.569
52,838.712
53,898.485
54,996.105
55,992.181
56,910.091
57,817.36
58,739.585
59,685.74
60,650.965
61,631.758
62,638.441
63,673.177
64,735.714
65,821.345
66,895.603
67,978.736
68,1021.021
69,971.322
70,894.964
71,827.502
72,788.047
73,781.619
74,770.967
75,757.755
76,779.442
77,837.54
78,969.521
79,964.151
80,887.964
81,801.703
82,737.035
83,688.146
84,648.394
85,633.952
86,641.128
87,699.771
88,757.457
89,816.542
90,896.451
91,982.032
92,1012.092
93,968.358
94,902.352
95,822.156
96,770.223
97,757.459
98,743.326
99,743.033
100,759.76
101,819.983
102,918.918
103,966.891
104,979.183
105,979.593
106,961.381
107,932.372
108,876.055
109,921.635
110,970.515
111,994.485
112,1005.876
113,1031.32
114,1052.091
115,1081.573
116,1075.233
117,1035.816
118,968.09
119,905.144
120,847.053
121,796.803
122,773.481
123,764.961
124,767.877
125,790.275
126,831.963
127,854.523
128,860.045
129,811.997
130,713.513
131,625.227
132,587.167
133,575.27
134,586.505
135,619.542
136,681.719
137,756.95
138,828.121
139,897.559
140,936.202
141,910.975
142,866.097
143,813.084
144,763.714
145,736.83
146,719.847
147,715.056
148,721.2
149,741.232
150,766.46
151,766.847
152,731.445
153,681.206
154,627.788
155,585.803
156,576.033
157,589.993
158,591.746
159,639.482
160,713.631
161,791.118
162,851.673
163,916.379
164,948.685
165,906.248
166,837.5
167,771.965
168,733.936
169,709.456
170,694.243
171,687.584
172,701.533
173,752.339
174,851.558
175,894.915
176,846.109
177,774.258
178,716.566
179,682.143
180,672.382
181,730.18
182,767.394
183,811.29
184,878.454
185,944.565
186,1017.718
187,1064.599
188,1076.862
189,1017.344
190,937.008
191,846.496
192,782.957
193,742.201
194,719.698
195,709.07
196,717.637
197,751.084
198,831.066
199,888.207
200,854.12
201,813.641
202,789.934
203,759.147
204,743.767
205,758.76
206,772.822
207,779.62
208,844.937
209,878.479
210,929.042
211,1012.851
212,1019.653
213,960.389
214,885.698
215,809.615
216,751.114
217,721.958
218,686.893
219,726.56
220,725.226
221,781.182
222,870.678
223,877.239
224,809.352
225,735.14
226,673.227
227,643.626
228,674.642
229,690.9
230,703.827
231,691.277
232,739.006
233,821.875
234,882.101
235,960.76
236,1001.089
237,953.909
238,876.904
239,810.89
240,761.442
241,727.858
242,730.561
243,719.115
244,743.211
245,794.416
246,903.149
247,930.122
248,919.671
249,870.606
250,795.996
251,741.591
252,691.349
253,658.082
254,705.645
255,765.595
256,836.09
257,915.107
258,954.757
259,1025.814
260,1043.962
261,996.897
262,918.842
263,861.033
264,808.091
265,770.362
266,748.98
267,742.376
268,754.893
269,789.003
270,889.558
271,923.087
272,876.536
273,825.385
274,759.472
275,718.225
276,689.13
277,647.082
278,720.984
279,815.448
280,861.75
281,897.701
282,930.939
283,972.184
284,982.801
285,949.631
286,892.256
287,820.691
288,776.384
289,726.227
290,707.176
291,694.925
292,696.629
293,716.496
294,750.665
295,808.103
296,843.405
297,877.898
298,875.049
299,831.214
300,772.616
301,732.283
302,757.227
303,808.764
304,844.348
305,889.698
306,929.401
307,973.34
308,989.707
309,957.02
310,906.287
311,849.411
312,801.583
313,770.371
314,745.427
315,725.856
316,730.849
317,729.666
318,754.53
319,773.754
320,807.632
321,826.784
322,819.563
323,790.857
324,801.029
325,835.532
326,840.482
327,855.909
328,899.225
329,928.679
330,959.166
331,1013.706
332,1035.399
333,984.197
334,922.622
335,857.641
336,797.571
337,768.525
338,757.613
339,758.77
340,753.95
341,788.603
342,882.291
343,904.586
344,906.766
345,904.586
346,941.877
347,851.709
348,756.923
349,742.699
350,728.231
351,762.899
352,807.409
353,883.724
354,945.613
355,1022.586
356,1053.369
357,1009.887
358,934.258
359,871.832
360,821.614
361,792.8
362,780.023
363,778.441
364,793.333
365,848.554
366,936.831
367,930.635
368,862.24
369,788.986
370,727.147
371,686.284
372,654.954
373,653.123
374,651.793
375,688.815
376,761.366
377,866.862
378,914.956
379,984.57
380,1035.373
381,995.713
382,922.025
383,845.993
384,783.253
385,767.137
386,740.904
387,745.969
388,750.936
389,792.289
390,903.095
391,902.184
392,853.254
393,793.571
394,772.567
395,812.631
396,807.716
397,818.489
