date,site1,site2,site3,site4,site5,site6,site7,OT
2017/9/30 0:00,956.69,720.9,1042,1059.2,1156.3,612.02,1294.8,1111.5
2017/9/30 0:15,1044.7,837.07,1439,1471.7,1523.3,848.26,2052.3,1667.6
2017/9/30 0:30,1122.1,959.78,1654,1696.3,1705.7,1057.1,2519.8,1965.8
2017/9/30 0:45,1207.8,1082.4,1800.8,1848.8,1834.7,1257.6,2829.3,2162.1
2017/9/30 1:00,1382.1,1276.9,2036.4,2090,2068.4,1521.5,3193.5,2438.7
2017/9/30 1:15,1470.6,1403.2,2179.7,2237.5,2204.5,1728.6,3440.6,2630.4
2017/9/30 1:30,1558.3,1534.8,2305.2,2366.1,2326.3,1932.9,3633.9,2789.5
2017/9/30 1:45,1646.6,1663.5,2420.2,2483.7,2440.5,2129.4,3795.7,2934.2
2017/9/30 2:00,1731,1788.9,2528.5,2594,2549.4,2318.8,3937.4,3070
2017/9/30 2:15,1813.8,1912.8,2632.6,2700.1,2655.1,2502.9,4066.7,3200
2017/9/30 2:30,1895.7,2035.5,2734.3,2803.6,2758.9,2682.5,4187.9,3326.6
2017/9/30 2:45,1977.5,2157.7,2835.1,2906.1,2862.2,2858.2,4305.3,3451.7
2017/9/30 3:00,2049.5,2271.3,2923.5,2996.1,2952.6,3023,4407.6,3564.4
2017/9/30 3:15,2115.8,2380.5,3002,3075.9,3033.6,3180.4,4493.1,3664.3
2017/9/30 3:30,2179.5,2487.2,3074.7,3149.7,3109.4,3331.7,4567.9,3756.3
2017/9/30 3:45,2243.8,2593,3145.6,3221.6,3184.2,3478.4,4637.6,3845.3
2017/9/30 4:00,2305.7,2695.6,3213.6,3290.4,3256.3,3619.3,4702.7,3931.1
2017/9/30 4:15,2365.8,2796.1,3279.1,3356.8,3326.1,3755,4764,4013.7
2017/9/30 4:30,2424.8,2894.6,3342.7,3421.2,3394.2,3885.9,4822.7,4093.8
2017/9/30 4:45,2482.9,2991.3,3405.1,3484.3,3461.2,4012.4,4880,4172.2
2017/9/30 5:00,2538.1,3084.9,3463.6,3543.6,3524.2,4133.9,4933.1,4246.5
2017/9/30 5:15,2591.5,3177.5,3519.2,3599.7,3584.4,4253.3,4981.5,4316.9
2017/9/30 5:30,2645.2,3270.1,3573.8,3654.9,3644.1,4371.5,5027.7,4385.8
2017/9/30 5:45,2698.7,3362.6,3627.8,3709.5,3703.4,4488.5,5072.7,4454.1
2017/9/30 6:00,2755.2,3456.7,3685.8,3768,3766.9,4605.4,5122,4526
2017/9/30 6:15,2812,3549.1,3745.8,3828.7,3832.3,4717.9,5176.3,4600.8
2017/9/30 6:30,2868,3639.1,3806,3889.7,3897.6,4825.4,5233.5,4676.4
2017/9/30 6:45,2921.9,3725.9,3865,3949.4,3961.3,4927.4,5291.5,4750.6
2017/9/30 7:00,2973.6,3809.8,3921.1,4006.4,4022.1,5024.2,5347.8,4821.6
2017/9/30 7:15,3023.8,3891.6,3975.1,4061.1,4080.7,5117.7,5402.1,4889.9
2017/9/30 7:30,3073.1,3971.8,4027.5,4114.3,4137.8,5208.1,5454.9,4956.1
2017/9/30 7:45,3121.7,4050.7,4079,4166.4,4194.1,5295.9,5506.7,5021.1
2017/9/30 8:00,3170.6,4128.9,4130.9,4219.1,4250.9,5381.7,5559.4,5086.2
2017/9/30 8:15,3219.3,4206.1,4183.1,4271.9,4308,5465.4,5613.3,5151.6
2017/9/30 8:30,3267.6,4282,4235,4324.6,4364.8,5547,5667.9,5216.8
2017/9/30 8:45,3315,4356.7,4286.3,4376.7,4420.8,5626.5,5722.5,5281.2
2017/9/30 9:00,3357.5,4425.2,4331.9,4423.1,4471.2,5696.6,5771.6,5338.8
2017/9/30 9:15,3396.5,4489.7,4372.3,4464.4,4516.8,5760.1,5813.8,5388.9
2017/9/30 9:30,3433.4,4551.2,4409.4,4502.4,4559.3,5818.5,5851.2,5433.8
2017/9/30 9:45,3469.6,4610.8,4444.8,4538.5,4600.3,5873.3,5885.6,5476
2017/9/30 10:00,3499.6,4661.6,4473.5,4568.1,4634.9,5912.5,5913.1,5509.8
2017/9/30 10:15,3518.3,4700.4,4489.5,4582.9,4657.3,5926.1,5923.9,5524.6
2017/9/30 10:30,3533,4733.8,4498.8,4590.6,4673.4,5928.6,5924.3,5528.9
2017/9/30 10:45,3550.1,4767.4,4507.1,4598.1,4689,5932.9,5920.3,5530.3
2017/9/30 11:00,3567.5,4800.3,4513.6,4604.5,4702.6,5939.5,5912.5,5532
2017/9/30 11:15,3583.2,4831.4,4518.7,4609.8,4714.2,5946.2,5901.7,5533.7
