,5
1,7.576672077
2,10.5322692
3,22.2790456
4,25.92022666
5,44.9034822
6,53.96159096
7,87.73976755
8,98.1646548
9,114.8956521
10,118.5278745
11,158.4202383
12,188.3603112
13,204.2809191
14,205.5841758
15,206.0833743
16,194.4768459
17,121.1224314
18,183.9456425
19,122.7913693
20,160.600879
21,241.249537
22,352.6806945
23,393.0543213
24,396.8236507
25,302.2943022
26,276.3792139
27,382.1425171
28,497.5864702
29,625.7747002
30,623.4314018
31,640.2708797
32,643.0877957
33,378.0053463
34,408.2676208
35,759.8823118
36,640.331084
37,904.9084549
38,870.2681275
39,522.7465363
40,450.5186087
41,280.331265
42,463.6362742
43,800.0769758
44,871.1110935
45,890.637496
46,880.5135782
47,889.4613094
48,917.4698803
49,896.2929802
50,921.1230846
51,961.600584
52,954.4576173
53,941.5830097
54,950.000625
55,931.7379551
56,939.0594137
57,967.0204887
58,967.2838329
59,1007.831652
60,1025.397747
61,1019.346579
62,1029.246204
63,1021.277561
64,1015.453165
65,1022.523428
66,1007.12876
67,946.1579523
68,1013.048838
69,1030.003809
70,1029.460268
71,1087.979624
72,1076.31238
73,1075.866243
74,1063.673328
75,1063.327179
76,1021.140057
77,1036.569586
78,1024.451026
79,1119.573637
80,1108.559988
81,1157.694038
82,1150.61247
83,1133.199457
84,1161.558084
85,1164.400766
86,1171.009664
87,1161.695333
88,1152.157489
89,1151.256569
90,1156.383471
91,707.650959
92,558.8353818
93,561.2907429
94,807.7754199
95,479.0599437
96,458.7012308
97,566.8556919
98,475.6322793
99,367.1722727
100,356.6702328
101,334.5455689
102,342.0712058
103,524.2390289
104,551.0753766
105,832.8945627
106,969.1699627
107,785.7769213
108,984.225165
109,1203.674839
110,1145.46185
111,1138.427069
112,1143.898731
113,1170.20841
114,1136.789729
115,1144.735541
116,1106.276569
117,1046.491774
118,1026.7072
119,984.3353252
120,973.659485
121,915.6058617
122,901.7769211
123,860.1927662
124,845.9187882
125,700.9490266
126,400.9130343
127,177.3878227
128,175.2864642
129,179.487584
130,282.2000808
131,700.4783535
132,719.5026834
133,631.8191271
134,617.0724649
135,551.7668858
136,524.1508487
137,490.7354012
138,476.018341
139,430.5021534
140,420.7270525
141,393.8227315
142,387.8100143
143,356.5636702
144,347.7784482
145,308.8566279
146,291.0860743
147,247.6630049
148,239.5340903
149,204.7875748
150,193.4113404
151,150.485985
152,140.2520537
153,111.5966972
154,100.5782364
155,72.20728815
156,66.7134865
157,53.1620757
158,49.88739222
159,39.15376374
160,34.47721208
161,20.46993107
162,15.34329468
163,1.599676252
164,20.82608315
165,25.31030405
166,38.21213761
167,41.54614078
168,50.83504158
169,52.14047627
170,50.08059376
171,54.16298359
172,69.47164536
173,81.6413335
174,112.7881703
175,116.5494759
