,功率
0,1447.1
1,1555.2
2,1549.3
3,1547.2
4,1536.6
5,1551.2
6,1476.4
7,1555.0
8,1545.0
9,1496.6
10,1532.6
11,1566.3
12,1413.0
13,1401.4
14,1563.0
15,1162.2
16,1555.4
17,1547.8
18,1538.7
19,1551.8
20,1526.9
21,1533.7
22,1541.0
23,1567.0
24,1549.7
25,1558.7
26,1547.8
27,1549.3
28,1545.3
29,1558.1
30,1546.9
31,1545.0
32,1553.0
33,1533.7
34,1548.8
35,1557.0
36,1554.1
37,1554.5
38,1567.0
39,1545.5
40,1557.7
41,1548.6
42,1553.3
43,1553.1
44,1538.1
45,1543.8
46,1544.8
47,1546.3
48,1553.5
49,1540.0
50,1564.2
51,1540.8
52,1526.5
53,1556.0
54,1553.7
55,1538.3
56,1564.2
57,1565.9
58,1555.4
59,1563.4
60,1549.9
61,1542.9
62,1543.2
63,1550.1
64,1550.9
65,1554.5
66,1566.3
67,1549.7
68,1536.0
69,1541.7
70,1557.7
71,1548.4
72,1550.1
73,1536.4
74,1550.7
75,1552.6
76,1555.0
77,1565.7
78,1553.9
79,1555.8
80,1555.2
81,1549.5
82,1553.0
83,1545.3
84,1553.7
85,1567.6
86,1542.5
87,1539.8
88,1548.0
89,1540.6
90,1550.9
91,1539.2
92,1542.1
93,1553.1
94,1549.5
95,1550.5
96,1547.4
97,1543.2
98,1558.1
99,1539.2
100,1540.0
101,1556.4
102,1538.7
103,1560.4
104,1537.7
105,1553.0
106,1557.0
107,1534.9
108,1552.4
109,1560.2
110,1564.0
111,1539.1
112,1557.5
113,1552.0
114,1536.0
115,1548.4
116,1538.9
117,1547.8
118,1537.5
119,1546.9
120,1555.6
121,1549.1
122,1548.2
123,1554.1
124,1548.4
125,1550.9
126,1568.2
127,1558.5
128,1556.6
129,1561.7
130,1559.6
131,1543.6
132,1558.7
133,1537.5
134,1539.6
135,1571.8
136,1550.5
137,1553.5
138,1549.3
139,1548.2
140,1558.3
141,1543.8
142,1543.6
143,1566.9
144,1559.0
145,1545.0
146,1550.3
147,1549.9
148,1570.7
149,1557.5
150,1544.8
151,1549.9
152,1549.7
153,1554.1
154,1537.0
155,1552.4
156,1542.7
157,1551.6
158,1551.8
159,1556.8
160,1560.8
161,1564.0
162,1543.8
163,1546.1
164,1538.3
165,1542.3
166,1552.8
167,1547.2
168,1551.2
169,1555.8
170,1558.5
171,1547.1
172,1544.4
173,1549.5
174,1549.5
175,1566.5
176,1556.4
177,1555.6
178,1536.2
179,1539.6
180,1567.2
181,1551.0
182,1562.1
183,1544.8
184,1543.8
185,1557.9
186,1541.1
187,1553.0
188,1557.3
189,1562.9
190,1544.8
191,1557.0
192,1541.0
193,1545.0
194,1550.1
195,1554.5
196,1539.8
197,1552.2
198,1537.1
199,1550.7
200,1553.3
201,1556.4
202,1560.0
203,1553.0
204,1550.1
205,1554.5
206,1558.9
207,1555.2
208,1551.2
209,1550.9
210,1555.8
211,1537.9
212,1553.3
213,1554.5
214,1554.5
215,1548.6
216,1552.6
